                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90643,                0.81064,                 1.2707,                0.80309,                0.73954,                0.84532,                0.56293,                 1.0912,                0.92494,                 1.4258,             0.00054478,             0.00054478,             0.00054478
                     36,                0.88939,                0.79029,                 1.2685,                 0.8056,                0.80887,                0.87244,                0.56747,                 1.1034,                0.88758,                 1.4512,             0.00051177,             0.00051177,             0.00051177
                     37,                 0.8852,                0.77576,                 1.2567,                0.85901,                 0.7555,                0.87457,                0.56715,                 1.1197,                0.88832,                 1.4677,             0.00047876,             0.00047876,             0.00047876
                     38,                0.87328,                0.76472,                  1.244,                0.78087,                0.83128,                0.87691,                0.57312,                 1.0634,                0.89484,                 1.4214,             0.00044576,             0.00044576,             0.00044576
                     39,                0.86625,                 0.7581,                 1.2486,                0.85214,                0.77466,                0.87602,                0.56367,                 1.1139,                0.88965,                  1.471,             0.00041275,             0.00041275,             0.00041275
                     40,                0.85747,                0.74077,                 1.2351,                0.84397,                0.82039,                0.88914,                0.57979,                 1.0757,                0.85973,                 1.4125,             0.00037974,             0.00037974,             0.00037974
                     41,                0.82592,                0.61784,                 1.2352,                0.85319,                0.80567,                0.88885,                0.59617,                 1.0751,                0.82481,                 1.4395,             0.00034674,             0.00034674,             0.00034674
                     42,                0.79597,                0.58789,                 1.2127,                 0.8623,                0.81797,                 0.8909,                 0.5784,                 1.0683,                0.89185,                 1.4322,             0.00031373,             0.00031373,             0.00031373
                     43,                0.79127,                0.57554,                 1.2038,                0.84346,                0.82157,                0.88111,                0.59708,                 1.0382,                0.82618,                 1.4094,             0.00028072,             0.00028072,             0.00028072
                     44,                0.77966,                0.54661,                 1.1982,                 0.8554,                0.82547,                 0.8988,                 0.6006,                 1.0445,                0.79758,                 1.4207,             0.00024772,             0.00024772,             0.00024772
                     45,                0.76458,                0.53251,                 1.1826,                0.85913,                0.79883,                0.88416,                0.59163,                 1.0768,                0.80691,                 1.4359,             0.00021471,             0.00021471,             0.00021471
                     46,                0.75444,                0.52384,                 1.1691,                0.84511,                0.82826,                0.89524,                0.60499,                 1.0366,                0.80923,                 1.4025,              0.0001817,              0.0001817,              0.0001817
                     47,                0.74233,                0.50802,                 1.1667,                0.87152,                0.84354,                0.91303,                0.60911,                 1.0442,                0.78627,                 1.4201,              0.0001487,              0.0001487,              0.0001487
                     48,                0.72656,                0.49041,                 1.1492,                0.87628,                0.83318,                0.90067,                0.60713,                 1.0762,                0.77513,                 1.4512,             0.00011569,             0.00011569,             0.00011569
                     49,                 0.7211,                0.47945,                 1.1485,                0.87701,                0.85019,                0.91422,                0.61642,                   1.04,                0.76352,                 1.4235,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.71156,                 0.4752,                 1.1391,                0.85207,                0.85587,                 0.9094,                0.62149,                 1.0275,                0.78021,                 1.4062,             4.9677e-05,             4.9677e-05,             4.9677e-05
